book_title,book_author,Category
Classical Mythology,Mark P. O. Morford,['Social Science']
"Amazing Grace : Lives of Children and the Conscience of a Nation, The",Jonathan Kozol,['Social Science']
Dictionary of Superstitions,David Pickering,['Social Science']
Lakota Woman,Dog Mary Crow,['Social Science']
The Community in America,Roland Warren,['Social Science']
"WITCHES,OGRES,&DEVIL'S",MARIO JACOBY,['Social Science']
"We're in the Mountains, Not over the Hill: Tales and Tips from Seasoned Women Backpackers",Susan Alcorn,['Social Science']
Becoming a Man : Half a Life Story,Paul Monette,['Social Science']
The Sorcerer's Companion: A Guide to the Magical World of Harry Potter,ALLAN ZOLA KRONZEK,['Social Science']
Love Ruins Everything: A Novel,Karen X. Tulchinsky,['Social Science']
"The War Against the Greens: The \Wise-Use\"" Movement, the New Right, and Anti-Environmental Violence""",David Helvarg,['Social Science']
"Sex, Art, and American Culture: Essays",Camille Paglia,['Social Science']
A Boy Named Phyllis: A Suburban Memoir,Frank Decaro,['Social Science']
Newjack: Guarding Sing Sing (Vintage),Ted Conover,['Social Science']
Media Virus!: Hidden Agendas in Popular Culture,Douglas Rushkoff,['Social Science']
The Culture of Fear: Why Americans Are Afraid of the Wrong Things,Barry Glassner,['Social Science']
So You Want to Be a Stay-At-Home Mom,Cheryl Gochnauer,['Social Science']
"The Male Body: Features, Destinies, Exposures",Laurence Goldstein,['Social Science']
Gay Ideas: Outing and Other Controversies,Richard D. Mohr,['Social Science']
So Little Time: Essays on Gay Life,Mike Hippler,['Social Science']
Reviving the Tribe: Regenerating Gay Men's Sexuality and Culture in the Ongoing Epidemic (Haworth Gay & Lesbian Studies),Eric E. Rofes,['Social Science']
A Queer Reader,Patrick Higgins,['Social Science']
Every Part of This Earth Is Sacred: Native American Voices in Praise of Nature,Jana Stone,['Social Science']
"Mothering the Mother: How a Doula Can Help You Have a Shorter, Easier, and Healthier Birth",Marshall H. Klaus,['Social Science']
Love in Black and White: The Triumph of Love over Prejudice and Taboo,Mark Mathabane,['Social Science']
"The Morning After: Sex, Fear, and Feminism on Campus",Katie Roiphe,['Social Science']
Deaf Culture Our Way,Holcomb,['Social Science']
Outrageous Acts and Everyday Rebellions,Gloria Steinem,['Social Science']
The Tranquilizing of America,Richard Hughes,['Social Science']
Cop Hunter,Vincent Murano,['Social Science']
The Rise and Fall of Gay Culture,Daniel Harris,['Social Science']
Going Out of Our Minds: The Metaphysics of Liberation,Sonia Johnson,['Social Science']
Our Kind of People: Inside America's Black Upper Class,Lawrence Otis Graham,['Social Science']
